search successful.
 Iter           x_1           x_2               f      gradient_1      gradient_2 
   00    10.0000000    12.0000000    774481.00000    352018.00000    -17600.00000 
   01    -0.7427368    12.5371094     14368.14165      3557.32893      2397.09028 
   02    -1.3243799     2.4088612        48.28939       342.27468       130.97580 
   03    -1.3642658     1.7922101         6.06601       -42.38830       -13.80221 
   04    -1.3602443     1.8519908         5.57105        -3.78127         0.34524 
   05    -1.3601578     1.8513708         5.57052        -3.99046         0.26830 
   06    -1.3566856     1.8352821         5.55679        -7.59695        -1.06273 
   07    -1.3490352     1.8075806         5.53313       -11.34365        -2.46309 
   08    -1.3238584     1.7269712         5.46601       -18.21978        -5.12595 
   09    -1.2746349     1.5827714         5.34971       -25.92367        -8.38452 
   10    -1.2066696     1.4015248         5.16671       -30.73168       -10.90536 
   11    -1.1081768     1.1691900         4.79093       -30.30983       -11.77315 
   12    -0.9882935     0.9393943         4.09266       -18.73367        -7.46594 
   13    -0.8527599     0.6982302         3.51664       -13.58704        -5.79385 
   14    -0.6875841     0.4555011         2.87777        -8.12521        -3.45415 
   15    -0.5618981     0.2697318         2.65110       -13.46220        -9.19954 
   16    -0.3247234     0.0508937         2.05248        -9.73511       -10.91030 
   17    -0.3107299     0.1043721         1.72413        -1.64962         1.56380 
   18    -0.1772295     0.0129858         1.41982        -3.66060        -3.68489 
   19    -0.0653010    -0.0443728         1.37142        -3.40102        -9.72741 
   20    -0.0754223    -0.0154689         1.20130        -2.78914        -4.23148 
   21     0.0036170    -0.0071511         0.99791        -1.98240        -1.43283 
   22     0.1187272    -0.0102101         0.83572        -0.60822        -4.86125 
   23     0.2209112     0.0146637         0.72352         1.45842        -6.82762 
   24     0.2896986     0.0763799         0.51022        -0.54625        -1.50907 
   25     0.3704396     0.1191009         0.42920         1.42651        -3.62492 
   26     0.4859078     0.2080054         0.34326         4.43362        -5.62021 
   27     0.5252493     0.2734521         0.22598        -0.43797        -0.48694 
   28     0.6496628     0.4010884         0.16672         4.74957        -4.19467 
   29     0.6504449     0.4171563         0.12570         0.84173        -1.18445 
   30     0.7402801     0.5398832         0.07407         1.88838        -1.62629 
   31     0.8187324     0.6579482         0.04817         3.69005        -2.47491 
   32     0.8567829     0.7355403         0.02073        -0.78796         0.29268 
   33     0.8978652     0.8033260         0.01124         0.81423        -0.56718 
   34     0.9527803     0.8998400         0.00855         2.93553        -1.59007 
   35     0.9428425     0.8867987         0.00373         0.69778        -0.43066 
   36     0.9605985     0.9222061         0.00158         0.13000        -0.10868 
   37     0.9894981     0.9779504         0.00024         0.43655        -0.23120 
   38     0.9953827     0.9904516         0.00003         0.12419        -0.06702 
   39     0.9995176     0.9989702         0.00000         0.02510        -0.01304 
   40     0.9998959     0.9997996         0.00000        -0.00332         0.00156 
   41     1.0000323     1.0000627         0.00000         0.00077        -0.00035 
Number of f calculations:           207 
Number of gradient calculations:    198 
